UserId,TransactionId,TransactionTime,ItemCode,ItemDescription,NumberOfItemsPurchased,CostPerItem,Country
369642,5957556,2018-04-02T17:18:00.000+07:00,482097,SET 3 PAPER VINTAGE CHICK PAPER EGG,3,4.08,United Kingdom
338079,6292737,2019-01-01T14:13:00.000+07:00,487179,JUMBO BAG APPLES,30,2.88,United Kingdom
326487,6261508,2018-12-14T15:47:00.000+07:00,446439,VICTORIAN SEWING BOX SMALL,3,8.22,United Kingdom
308448,6121632,2018-08-25T11:44:00.000+07:00,460656,RED RETROSPOT PICNIC BAG,6,4.08,United Kingdom
383145,6383421,2019-02-13T15:48:00.000+07:00,466452,FOUR HOOK  WHITE LOVEBIRDS,18,2.9,United Kingdom
306726,6055852,2018-07-01T12:02:00.000+07:00,1779855,COLOUR GLASS T-LIGHT HOLDER HANGING,24,0.9,United Kingdom
302148,6319324,2019-01-16T13:50:00.000+07:00,487200,JUMBO BAG PEARS,30,2.88,United Kingdom
289632,6264709,2018-12-16T15:31:00.000+07:00,491316,LE JARDIN BOTANIQUE CUSHION COVER,12,5.18,United Kingdom
352359,5945082,2018-03-21T13:45:00.000+07:00,466137,SMALL POPCORN HOLDER,36,1.18,United Kingdom
331905,6299172,2019-01-06T13:11:00.000+07:00,490350,ROLL WRAP VINTAGE SPOT,36,1.73,United Kingdom
267708,6362400,2019-02-05T12:52:00.000+07:00,442764,SET/6 COLLAGE PAPER CUPS,51,0.27,United Kingdom
362355,6306806,2019-01-11T13:18:00.000+07:00,471051,WATERING CAN BLUE ELEPHANT,6,2.7,United Kingdom
350406,6295245,2019-01-04T14:49:00.000+07:00,482811,GIRAFFE WOODEN RULER,6,2.7,United Kingdom
281568,6233942,2018-11-26T13:51:00.000+07:00,465969,CREAM HEART CARD HOLDER,24,5.46,United Kingdom
306453,6100633,2018-08-06T12:14:00.000+07:00,1894158,VINTAGE ROSE BEAD BRACELET BLACK,6,5.87,United Kingdom
350952,6355503,2019-02-02T16:57:00.000+07:00,493710,MINI PLAYING CARDS GYMKHANA,3,0.58,United Kingdom
