datetime,location,precip,conditions,icon,humidity,wind speed
2025-03-25 00:00:00,"Quận Ba Đình, Hà Nội, Việt Nam",0.0,Clear,clear-night,83.1,N/A
2025-03-25 01:00:00,"Quận Ba Đình, Hà Nội, Việt Nam",0.0,Clear,clear-night,88.35,N/A
2025-03-25 02:00:00,"Quận Ba Đình, Hà Nội, Việt Nam",0.0,Clear,clear-night,93.97,N/A
2025-03-25 03:00:00,"Quận Ba Đình, Hà Nội, Việt Nam",0.0,Clear,clear-night,93.97,N/A
2025-03-25 04:00:00,"Quận Ba Đình, Hà Nội, Việt Nam",0.0,Clear,clear-night,93.97,N/A
2025-03-25 05:00:00,"Quận Ba Đình, Hà Nội, Việt Nam",0.0,Partially cloudy,partly-cloudy-night,93.97,N/A
2025-03-25 06:00:00,"Quận Ba Đình, Hà Nội, Việt Nam",0.0,Overcast,cloudy,88.35,N/A
2025-03-25 07:00:00,"Quận Ba Đình, Hà Nội, Việt Nam",0.0,Overcast,cloudy,88.35,N/A
2025-03-25 08:00:00,"Quận Ba Đình, Hà Nội, Việt Nam",0.0,Overcast,cloudy,88.35,N/A
2025-03-25 09:00:00,"Quận Ba Đình, Hà Nội, Việt Nam",0.0,Overcast,cloudy,83.1,N/A
2025-03-25 10:00:00,"Quận Ba Đình, Hà Nội, Việt Nam",0.0,Overcast,cloudy,83.1,N/A
2025-03-25 11:00:00,"Quận Ba Đình, Hà Nội, Việt Nam",0.0,Partially cloudy,partly-cloudy-day,78.2,N/A
2025-03-25 12:00:00,"Quận Ba Đình, Hà Nội, Việt Nam",0.0,Partially cloudy,partly-cloudy-day,69.35,N/A
2025-03-25 13:00:00,"Quận Ba Đình, Hà Nội, Việt Nam",0.0,Partially cloudy,partly-cloudy-day,69.54,N/A
2025-03-25 14:00:00,"Quận Ba Đình, Hà Nội, Việt Nam",0.0,Clear,clear-day,65.55,N/A
2025-03-25 15:00:00,"Quận Ba Đình, Hà Nội, Việt Nam",0.0,Partially cloudy,partly-cloudy-day,65.55,N/A
2025-03-25 16:00:00,"Quận Ba Đình, Hà Nội, Việt Nam",0.0,Partially cloudy,partly-cloudy-day,65.55,N/A
